Time Step,Kart Accel,Vehicle Speed,Total Distance,Clutch Slip,BSFC,RPM,Torque
9.7,-0.17,10.43,74.31,0.0,1.31,3602.53,6.9
9.75,-0.17,10.42,74.83,0.0,1.31,3599.54,6.9
9.8,1.86,10.52,75.35,0.0,1.33,3631.74,6.9
9.85,-0.17,10.51,75.88,0.0,1.33,3628.73,6.9
9.9,-0.17,10.5,76.4,0.0,1.33,3625.72,6.9
9.95,-0.17,10.49,76.93,0.0,1.33,3622.71,6.9
10.0,-0.17,10.48,77.45,0.0,1.33,3619.7,6.9
10.05,-0.17,10.47,77.98,0.0,1.33,3616.7,6.9
10.1,-0.17,10.46,78.5,0.0,1.33,3613.7,6.9
10.15,-0.17,10.45,79.02,0.0,1.33,3610.7,6.9
10.2,-0.17,10.45,79.54,0.0,1.33,3607.7,6.9
10.25,-0.17,10.44,80.07,0.0,1.33,3604.71,6.9
10.3,-0.17,10.43,80.59,0.0,1.33,3601.72,6.9
10.35,-0.17,10.42,81.11,0.0,1.33,3598.73,6.9
10.4,1.87,10.51,81.63,0.0,1.35,3630.94,6.9
10.45,-0.17,10.5,82.16,0.0,1.35,3627.92,6.9
10.5,-0.17,10.5,82.68,0.0,1.35,3624.91,6.9
10.55,-0.17,10.49,83.21,0.0,1.35,3621.91,6.9
10.6,-0.17,10.48,83.73,0.0,1.35,3618.9,6.9
10.65,-0.17,10.47,84.25,0.0,1.35,3615.9,6.9
10.7,-0.17,10.46,84.78,0.0,1.35,3612.9,6.9
10.75,-0.17,10.45,85.3,0.0,1.35,3609.9,6.9
10.8,-0.17,10.44,85.82,0.0,1.35,3606.9,6.9
10.85,-0.17,10.43,86.34,0.0,1.35,3603.91,6.9
10.9,-0.17,10.43,86.87,0.0,1.35,3600.92,6.9
10.95,-0.17,10.42,87.39,0.0,1.37,3597.93,6.9
11.0,1.87,10.51,87.91,0.0,1.38,3630.15,6.9
11.05,-0.17,10.5,88.44,0.0,1.38,3627.13,6.9
11.1,-0.17,10.49,88.96,0.0,1.38,3624.12,6.9
11.15,-0.17,10.48,89.49,0.0,1.38,3621.11,6.9
11.2,-0.17,10.48,90.01,0.0,1.38,3618.11,6.9
11.25,-0.17,10.47,90.53,0.0,1.38,3615.11,6.9
11.3,-0.17,10.46,91.06,0.0,1.38,3612.11,6.9
11.35,-0.17,10.45,91.58,0.0,1.38,3609.11,6.9
11.4,-0.17,10.44,92.1,0.0,1.38,3606.12,6.9
11.45,-0.17,10.43,92.62,0.0,1.38,3603.12,6.9
11.5,-0.17,10.42,93.14,0.0,1.38,3600.14,6.9
11.55,-0.17,10.42,93.66,0.0,1.4,3597.15,6.9
11.6,1.87,10.51,94.19,0.0,1.42,3629.36,6.9
11.65,-0.17,10.5,94.71,0.0,1.42,3626.35,6.9
11.7,-0.17,10.49,95.24,0.0,1.42,3623.34,6.9
11.75,-0.17,10.48,95.76,0.0,1.42,3620.33,6.9
11.8,-0.17,10.47,96.29,0.0,1.42,3617.33,6.9
11.85,-0.17,10.46,96.81,0.0,1.42,3614.33,6.9
11.9,-0.17,10.46,97.33,0.0,1.42,3611.33,6.9
11.95,-0.17,10.45,97.86,0.0,1.42,3608.33,6.9
12.0,-0.17,10.44,98.38,0.0,1.42,3605.34,6.9
12.05,-0.17,10.43,98.9,0.0,1.42,3602.35,6.9
12.1,-0.17,10.42,99.42,0.0,1.42,3599.36,6.9
12.15,1.86,10.51,99.95,0.0,1.44,3631.56,6.9
12.2,-0.17,10.51,100.47,0.0,1.44,3628.55,6.9
